"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"579002",,"002","Embu das Artes (Engenho Velho) / Sao Paulo (Metro Capao Redondo)",,"3",,,
"579049",,"239","Itapecerica da Serra (Jardim Sao Marcos) / Cotia (Terminal Metropolitano Cotia)",,"3",,,
"579084",,"416","Poa (Jardim Medina) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"579126",,"003","Guarulhos (Cocaia) / Sao Paulo (Metro Tucuruvi)",,"3",,,
"582007",,"178","Embu das Artes (Jardim Vazame) / Sao Paulo (Metro Campo Limpo)",,"3",,,
"584148",,"474","Guararema (Terminal Rodoviario de Guararema) / Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"3",,,
"584230",,"951","Guaruja (Centro) / Santos (Monte Cabrao)",,"3",,,
"587037",,"604","Paulinia (Paulinia Rodoviaria Shopping) / Campinas (Botafogo)",,"3",,,
"588080",,"078BI1","Taboao da Serra (Parque Maraba) Sao Paulo (Pinheiros)",,"3",,,
"588101",,"020","Carapicuiba (Vila Dirce) / Sao Paulo (Pinheiros)",,"3",,,
"588117",,"032","Itapecerica da Serra (Parque Paraiso) / Sao Paulo (Pinheiros)",,"3",,,
"588378",,"932","Sao Vicente (Parque das Bandeiras Gleba II) / Santos (Paqueta)",,"3",,,
"588381",,"933","Sao Vicente (Humaita) / Santos (Paqueta)",,"3",,,
"588403",,"573","Guarulhos (Parque Continental II) / Sao Paulo (Metro Carrao)",,"3",,,
"590019",,"178BI1","Embu das Artes (Jardim Nossa Senhora de Fatima) / Sao Paulo (Metro Campo Limpo)",,"3",,,
"591126",,"305","Diadema (Jardim Padre Anchieta) Sao Bernardo do Campo (Jardim do Lago)",,"3",,,
"593011",,"078","Embu das Artes (Parque Pirajussara) / Sao Paulo (Pinheiros)",,"3",,,
"594053",,"036","Vargem Grande Paulista (Jardim Sao Marcos) / Sao Paulo (Metro Butanta)",,"3",,,
"594101",,"226","Embu-Guacu (Chacara Florida) / Sao Paulo (Terminal Grajau)",,"3",,,
"594103",,"141","Santa Isabel (Monte Serrat) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"594151",,"379","Ferraz de Vasconcelos (Estacao Ferraz de Vasconcelos) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"594370",,"349","Guarulhos (Parque Brasilia) Sao Paulo (Itaim Paulista)",,"3",,,
"595043",,"032BI2","Itapecerica da Serra (Jardim Sampaio) / Sao Paulo (Pinheiros)",,"3",,,
"597013",,"034","Itapecerica da Serra (Jardim Sao Marcos) / Itapecerica da Serra (Jardim das Oliveiras)",,"3",,,
"597082",,"053","Barueri (Parque Imperial) / Sao Paulo (Lapa)",,"3",,,
"598037",,"014","Franco da Rocha (Parque Vitoria) Caieiras (Centro)",,"3",,,
"598286",,"060","Osasco (Olaria do Nino) / Sao Paulo (Metro Butanta)",,"3",,,
"598342",,"577","Guarulhos (Jardim Ipanema) / Sao Paulo (Metro Armenia)",,"3",,,
"599124",,"909","Guaruja (Ferry Boat) / Cubatao (Jardim Casqueiro)",,"3",,,
"604024",,"328","Poa (Terminal Rodoviario Jardim Sao Jose) / Sao Paulo (Sao Mateus)",,"3",,,
"604052",,"059PR1","Carapicuiba (Jardim Novo Horizonte) / Sao Paulo (Metro Butanta)",,"3",,,
"604073",,"948DV1","Sao Vicente (Parque das Bandeiras Gleba II) / ",,"3",,,
"604077",,"933BI1","Sao Vicente (Parque Continental) / Santos (Paqueta)",,"3",,,
"610027",,"213","Taboao da Serra (Jardim Sao Judas Tadeu) / Osasco (Centro)",,"3",,,
"611001",,"036BI1","Embu das Artes (Jardim Tome) / Sao Paulo (Metro Butanta)",,"3",,,
"613248",,"042","Mairipora (Divisa) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"613258",,"273","Suzano (Centro) / Aruja (Parque Rodrigo Barreto)",,"3",,,
"615008",,"242","Itaquaquecetuba (Jardim Pinheirinho) / Sao Paulo (Metro Carrao)",,"3",,,
"615092",,"460","Ferraz de Vasconcelos (Vila Sao Paulo) / Sao Paulo (Parque Artur Alvim)",,"3",,,
"615132",,"604EX1","Paulinia (Paulinia Rodoviaria Shopping) / Campinas (Shopping Parque Dom Pedro I)",,"3",,,
